"row_id","MDPL2__Rockstar__dbId","MDPL2__Rockstar__rockstarId","MDPL2__Rockstar__scale","MDPL2__Rockstar__desc_scale","MDPL2__Rockstar__descId","MDPL2__Rockstar__nprog","MDPL2__Rockstar__pId","MDPL2__Rockstar__upId","MDPL2__Rockstar__desc_pId","MDPL2__Rockstar__phantom","MDPL2__Rockstar__Mvir_SAM","MDPL2__Rockstar__Mvir","MDPL2__Rockstar__Rvir","MDPL2__Rockstar__Rs","MDPL2__Rockstar__Vrms","MDPL2__Rockstar__mmp","MDPL2__Rockstar__lastMM_scale","MDPL2__Rockstar__Vmax","MDPL2__Rockstar__x","MDPL2__Rockstar__y","MDPL2__Rockstar__z","MDPL2__Rockstar__vx","MDPL2__Rockstar__vy","MDPL2__Rockstar__vz","MDPL2__Rockstar__angMom_x","MDPL2__Rockstar__angMom_y","MDPL2__Rockstar__angMom_z","MDPL2__Rockstar__spin","MDPL2__Rockstar__breadthFirstId","MDPL2__Rockstar__depthFirstId","MDPL2__Rockstar__treeRootId","MDPL2__Rockstar__forestId","MDPL2__Rockstar__origHaloId","MDPL2__Rockstar__rockstar_snapnum","MDPL2__Rockstar__snapnum","MDPL2__Rockstar__nextCoprog_depthFirstId","MDPL2__Rockstar__mainLeaf_depthFirstId","MDPL2__Rockstar__lastProg_depthFirstId","MDPL2__Rockstar__Rs_Klypin","MDPL2__Rockstar__Mvir_all","MDPL2__Rockstar__M200b","MDPL2__Rockstar__M200c","MDPL2__Rockstar__M500c","MDPL2__Rockstar__M2500c","MDPL2__Rockstar__Xoff","MDPL2__Rockstar__Voff","MDPL2__Rockstar__spin_Bullock","MDPL2__Rockstar__axisratio_2_1","MDPL2__Rockstar__axisratio_3_1","MDPL2__Rockstar__axis1_x","MDPL2__Rockstar__axis1_y","MDPL2__Rockstar__axis1_z","MDPL2__Rockstar__axisratio_2_1_500c","MDPL2__Rockstar__axisratio_3_1_500c","MDPL2__Rockstar__axis1_x_500c","MDPL2__Rockstar__axis1_y_500c","MDPL2__Rockstar__axis1_z_500c","MDPL2__Rockstar__T_U","MDPL2__Rockstar__M_pe_Behroozi","MDPL2__Rockstar__M_pe_Diemer","MDPL2__Rockstar__Macc","MDPL2__Rockstar__Mpeak","MDPL2__Rockstar__Vacc","MDPL2__Rockstar__Vpeak","MDPL2__Rockstar__halfmass_scale","MDPL2__Rockstar__accRate_Inst","MDPL2__Rockstar__accRate_100Myr","MDPL2__Rockstar__accRate_1Tdyn","MDPL2__Rockstar__accRate_2Tdyn","MDPL2__Rockstar__accRate_Mpeak","MDPL2__Rockstar__Mpeak_scale","MDPL2__Rockstar__Acc_scale","MDPL2__Rockstar__First_Acc_scale","MDPL2__Rockstar__First_Acc_Mvir","MDPL2__Rockstar__First_Acc_Vmax","MDPL2__Rockstar__Vmax_Mpeak","MDPL2__Rockstar__ix","MDPL2__Rockstar__iy","MDPL2__Rockstar__iz","MDPL2__Rockstar__phkey"
2870,9608008376119,8008376119,0.526,0.5378,8182906782,10,-1,-1,-1,0,232373000000000,227850000000000,1458.05,780.882,1260.36,1,0.353,1130.47,773.907,71.7934,621.703,-248.79,-435.97,977.99,1.289e16,-1.383e16,-1.518e16,0.05732,9269562,9286800,12671158238,12671156915,121455800,96,96,9296514,9286878,9296513,657.701,227960000000000,231830000000000,194410000000000,106110000000000,39568000000000,206.204,185.74,0.08679,0.63946,0.37864,39.9797,-60.3501,94.9272,0.69239,0.45774,46.6729,-24.1719,56.0271,0.7467,216600000000000,352000000000000,227850000000000,227850000000000,1130.47,1205.57,0.353,128000,128000,47780,46000,47300,0.526,0.526,0.526,227800000000000,1130.47,1130.47,792,73,636,899188291
2871,8005165091429,5165091429,0.369,0.3773,5341873906,14,-1,-1,-1,0,158697000000000,157520000000000,1328.81,479.663,1447.99,1,0.3303,1230.14,776.78,69.6182,625.204,-90.58,74.52,-502.64,2.795e15,-4.621e15,-629700000000000,0.02096,9286215,9257494,12671158238,12671156915,119381013,80,80,9262930,9257560,9262929,297.847,157520000000000,155980000000000,152460000000000,95399000000000,21360000000000,406.57,323.75,0.04235,0.31405,0.232,-31.3904,-70.2321,206.116,0.33432,0.25696,-8.74592,-53.2666,141.981,0.8617,135100000000000,191900000000000,157520000000000,157520000000000,1230.14,1368.08,0.3231,179800,179800,107200,117300,141100,0.369,0.369,0.369,157500000000000,1230.14,1230.14,795,71,640,905319122
2872,9908529499839,8529499839,0.5622,0.5747,8701430920,16,-1,-1,-1,0,493340000000000,463850000000000,1831.37,746.695,1653.98,1,0.3303,1392.04,774.62,70.4484,624.053,-806.85,255.93,-627.32,1.66e15,3.382e16,7.266e15,0.02372,9266870,9257475,12671158238,12671156915,120189861,99,99,9282728,9257560,9282727,839.927,465220000000000,490500000000000,382430000000000,249350000000000,110930000000000,267.141,359.29,0.03683,0.57356,0.39989,105.202,-41.2846,102.001,0.88591,0.58416,77.28,-31.5013,47.3894,0.7777,475600000000000,729900000000000,463850000000000,463850000000000,1392.04,1452.73,0.3944,390400,390400,160400,90580,90700,0.5622,0.562,0.562,463800000000000,1392.04,1392.04,793,72,639,899188298
2873,11811618312549,11618312549,0.8564,0.8755,11770597675,42,-1,-1,-1,0,1.03407e15,1.0307e15,2174.48,301.38,1883.52,1,0.5747,1743.58,771.51,71.0113,623.827,-522.53,67.25,131.58,-2.309e16,6.914e16,-2.718e15,0.0152,9257991,9257456,12671158238,12671156915,107558552,118,118,9339978,9257560,9339977,297.415,1.0307e15,1.1351e15,891950000000000,670550000000000,294390000000000,85.2451,229.84,0.01742,0.74976,0.44109,74.329,-44.2345,95.4637,0.73613,0.39747,59.9819,-34.4649,75.1839,0.6636,1.059e15,696000000000000,1.0307e15,1.0307e15,1743.58,1892.27,0.5622,7862,7862,60510,51640,71160,0.8564,0.856,0.856,1.031e15,1743.58,1743.58,790,72,638,899189172
2874,10008701431089,8701431089,0.5747,0.5876,8872440584,15,8701430920,8701430920,8872440479,0,265013000000000,311240000000000,1598.08,281.209,1551.99,1,0.353,1312.19,773.525,71.1062,622.867,-228.49,-530.73,1155.45,1.384e16,-7.536e15,-1.374e16,0.02712,9266155,9286796,12671158238,12671156915,119697968,100,100,9300255,9286878,9300254,273.599,312080000000000,317940000000000,275860000000000,195970000000000,97516000000000,24.3747,249.77,0.04284,0.66185,0.35939,8.79729,-79.6974,84.8428,0.61418,0.33489,11.5209,68.7669,-63.0109,0.81,268600000000000,231300000000000,189500000000000,311240000000000,1051.55,1312.19,0.4215,590100,590100,99740,65270,65220,0.5747,0.562,0.562,189500000000000,1051.55,1312.19,792,72,637,899188295
2875,10108872440479,8872440479,0.5876,0.6008,9042450778,27,-1,-1,-1,0,793986000000000,721140000000000,2107.38,552.351,1921.97,1,0.5747,1693.84,774.105,70.663,623.7,-1258.22,407.71,-823.38,2.39e16,5.901e16,-3.534e15,0.02055,9265330,9257473,12671158238,12671156915,119180827,101,101,9284650,9257560,9284649,399.256,721220000000000,732490000000000,669250000000000,480780000000000,122480000000000,364.679,1127.96,0.0319,0.39872,0.237,148.639,-89.1389,152.585,0.2999,0.19234,133.947,-51.923,102.68,0.7853,645700000000000,738500000000000,721140000000000,721140000000000,1693.84,1693.84,0.5378,417800,417800,361700,191300,192600,0.5876,0.588,0.588,721100000000000,1693.84,1693.84,792,72,638,899188296
2876,8405875765019,5875765019,0.4032,0.4123,6054464757,5,-1,-1,-1,0,138157000000000,137650000000000,1263.71,567.751,1183.03,1,0.353,1091.71,774.765,72.2063,620.106,-292.92,-88.29,515.53,743800000000000,1.654e15,-3.424e15,0.02663,9281837,9286812,12671158238,12671156915,121687923,84,84,9292086,9286878,9292085,401.017,137650000000000,135690000000000,129070000000000,70890000000000,21586000000000,158.955,95.28,0.03624,0.59964,0.37027,77.9139,57.2078,83.82,0.87507,0.48611,40.4896,23.6716,66.1207,0.6904,114600000000000,191600000000000,137650000000000,137650000000000,1091.71,1205.57,0.3303,18400,18400,39320,60180,66180,0.4032,0.403,0.403,137600000000000,1091.71,1091.71,793,73,634,899188282
2877,10209042450779,9042450779,0.6008,0.6142,9211502511,12,9042450778,9042450778,-1,0,321760000000000,321760000000000,1604.5,252.444,1694.91,0,0.353,1333.11,773.597,70.7364,623.585,1008.06,-322.32,1128.36,2.506e15,1.786e16,7.418e15,0.01283,9264645,9286794,12671158238,12671156915,118623626,102,102,9302069,9286878,9302068,238.993,323060000000000,329050000000000,295610000000000,226010000000000,100700000000000,181.534,644.41,0.0371,0.5732,0.3203,0.06865,-89.061,97.6405,0.52064,0.28519,-12.1592,-75.0558,78.2685,1.0545,296300000000000,237400000000000,189500000000000,321760000000000,1051.55,1333.11,0.4309,125800,125800,68810,62370,62800,0.6008,0.562,0.562,189500000000000,1051.55,1333.11,792,72,638,899188296
2878,10810048055329,10048055329,0.6862,0.7016,10210639735,7,-1,-1,-1,0,186097000000000,175410000000000,1277.98,540.402,1076.24,1,0.17,935.03,739.581,925.443,7.81503,125.57,-553.97,-201.82,-1.407e16,3.067e15,5.819e15,0.04768,105242777,105241535,12678202575,12678202260,122770625,108,108,105247518,105241620,105247517,438.2,175890000000000,185750000000000,145230000000000,88333000000000,22146000000000,234.556,359.79,0.07696,0.53208,0.30022,25.6529,111.621,14.0969,0.37301,0.28219,24.2828,74.7858,14.0137,0.7829,173200000000000,268600000000000,175410000000000,175410000000000,935.03,935.03,0.5876,80330,80330,58930,42340,38820,0.6862,0.686,0.686,175400000000000,935.03,935.03,757,947,8,327640796
2879,9207312428239,7312428239,0.4814,0.4922,7489525469,2,7312428162,7312428162,7489525468,1,143781000000000,143781000000000,1261.8,343.936,1469.49,1,0.3773,1096.69,765.29,953.169,815.526,-523.079,-245.33,471.502,-1.126e15,-3.539e15,4.847e15,0.03549,43147461,43149884,12679229826,12679229249,177245679,92,92,-1,43149964,43154415,225.831,144738000000000,143804000000000,137869000000000,99612000000000,33234300000000,152.859,234.333,0.0589833,0.617867,0.366427,-26.9569,129.706,-39.3592,0.620763,0.344377,-10.6375,95.9205,-38.2178,1.03077,128657000000000,126787000000000,72657000000000,143781000000000,873.06,1096.69,0.4215,207400,207400,82550,72110,72740,0.4814,0.451,0.451,72660000000000,873.06,1096.69,783,976,835,762912738
2880,9307489525469,7489525469,0.4922,0.5032,7666039428,1,7489525468,7489525468,-1,0,178870000000000,178870000000000,1355.52,245.509,1634.76,0,0.3773,1186.42,765.154,953.113,815.645,-572.71,-205.59,493.76,-1.843e15,-5.516e15,8.509e15,0.03327,43146936,43149883,12679229826,12679229249,132001260,93,93,43154416,43149964,43154415,210.19,179000000000000,179010000000000,172070000000000,129190000000000,47098000000000,137.78,259.41,0.05687,0.61456,0.45358,-27.3227,121.128,-42.0279,0.49722,0.41,-23.1172,105.118,-28.4135,1.1633,161600000000000,147200000000000,72657000000000,178870000000000,873.06,1186.42,0.4406,200800,200800,114600,84940,87200,0.4922,0.451,0.451,72660000000000,873.06,1186.42,783,975,835,762912831
2881,10309219967869,9219967869,0.6142,0.628,9387931004,19,-1,-1,-1,0,440910000000000,437480000000000,1770.87,313.271,1592.35,1,0.4605,1473.18,763.936,953.596,817.205,-519.98,259.08,470.35,5.569e15,-9.78e15,6.174e15,0.01147,43142772,43139373,12679229826,12679229249,127441038,103,103,43163609,43139462,43163608,254.171,437550000000000,448650000000000,401400000000000,312600000000000,110260000000000,72.4788,205.67,0.0145,0.63467,0.42513,-45.0333,153.265,62.4584,0.47001,0.37093,-42.8884,136.504,14.4758,0.7019,414300000000000,349800000000000,437480000000000,437480000000000,1473.18,1489.52,0.4605,20800,20800,38750,81170,88250,0.6142,0.614,0.614,437500000000000,1473.18,1473.18,782,976,836,762912558
2882,10609720700369,9720700369,0.6565,0.6712,9885455791,18,-1,-1,-1,0,458793000000000,459760000000000,1778.27,392.501,1500.64,1,0.4605,1404.64,763.546,953.651,817.506,-558.79,185.15,346.74,4.24e15,-1.813e16,1.516e16,0.0195,43141819,43139370,12679229826,12679229249,125391295,106,106,43165266,43139462,43165265,318.498,460040000000000,482170000000000,407440000000000,302140000000000,89339000000000,89.5193,153.83,0.0243,0.48664,0.42208,-52.5519,148.092,69.4756,0.43009,0.35958,-40.4798,120.449,31.2961,0.675,413700000000000,417600000000000,459760000000000,459760000000000,1404.64,1489.52,0.4605,9220,9220,20800,54570,56350,0.6565,0.656,0.656,459800000000000,1404.64,1404.64,781,976,837,762912562
2883,10810049112429,10049112429,0.6862,0.7016,10211691115,20,-1,-1,-1,0,465217000000000,465380000000000,1769.2,386.163,1497.6,1,0.4605,1375.88,763.268,953.89,817.707,-463.08,113.7,347.25,2.061e16,-9.077e15,1.493e16,0.02058,43141262,43139368,12679229826,12679229249,123931220,108,108,43168883,43139462,43168882,332.462,466470000000000,487410000000000,415300000000000,296760000000000,88893000000000,178.065,18.63,0.02633,0.48104,0.41276,-51.2097,156.513,70.6063,0.49936,0.39756,-36.1587,113.691,47.1423,0.6933,428700000000000,424200000000000,465380000000000,465380000000000,1375.88,1489.52,0.4605,25690,25690,23150,41680,46720,0.6862,0.686,0.686,465400000000000,1375.88,1375.88,781,976,837,762912562
2884,10910213423449,10213423449,0.7016,0.7173,10374863032,9,-1,-1,-1,0,249199000000000,243190000000000,1418.07,337.592,1192.49,1,0.5622,1084.58,829.548,186.663,812.339,307.62,-62.74,269.56,-7.182e15,5.595e15,5.461e15,0.02404,109291259,109290321,12680956248,12680933841,125054207,109,109,109309676,109290419,109309675,292.246,243320000000000,255650000000000,216620000000000,147930000000000,49310000000000,63.4313,162.06,0.03026,0.63891,0.48153,-34.2379,-35.5089,127.509,0.699,0.44877,-37.9804,-45.0739,77.0154,0.6787,221800000000000,235900000000000,243190000000000,253200000000000,1084.58,1184.85,0.5622,-39690,-39690,28280,66260,65450,0.6862,0.702,0.702,243200000000000,1084.58,1120.6,849,191,831,913079735
2885,9908539949169,8539949169,0.5622,0.5747,8711830576,6,-1,-1,-1,0,140145000000000,123830000000000,1179.22,1159.86,1061.28,1,0.5622,896.36,828.126,186.758,812.422,697.45,139.3,-348.27,-5.781e15,-419100000000000,2.47e15,0.02019,109293082,109290331,12680956248,12680933841,131739457,99,99,109294568,109290419,109294567,534.998,124810000000000,128770000000000,98674000000000,41990000000000,13222000000000,336.031,505.02,0.06054,0.20006,0.19794,-46.3111,-45.0749,137.753,0.48189,0.37871,-13.3004,-31.5618,60.6897,0.9291,112100000000000,198300000000000,123830000000000,123830000000000,896.36,896.36,0.5378,225700,225700,70660,39230,39370,0.5622,0.562,0.562,123800000000000,896.36,896.36,848,191,831,913079734
2886,11911780225129,11780225129,0.8755,0.8951,11931798566,12,-1,-1,-1,0,289097000000000,291400000000000,1416.94,346.254,1141.66,1,0.5622,1047.97,830.571,186.383,813.149,405.64,-208.18,340.93,1.508e16,-627800000000000,7.151e15,0.02622,109290424,109290311,12680956248,12680933841,117035395,119,119,109313820,109290419,109313819,327.77,291450000000000,317010000000000,227430000000000,156710000000000,55240000000000,202.858,186.6,0.03251,0.58303,0.42036,29.663,37.4269,91.939,0.70469,0.49341,14.4875,19.4398,63.5108,0.6666,278700000000000,287100000000000,291400000000000,291400000000000,1047.97,1184.85,0.5622,6005,6005,23570,15610,22670,0.8755,0.875,0.875,291400000000000,1047.97,1047.97,850,190,832,912436052
