"row_id","MDPL2__Rockstar__dbId","MDPL2__Rockstar__rockstarId","MDPL2__Rockstar__scale","MDPL2__Rockstar__desc_scale","MDPL2__Rockstar__descId","MDPL2__Rockstar__nprog","MDPL2__Rockstar__pId","MDPL2__Rockstar__upId","MDPL2__Rockstar__desc_pId","MDPL2__Rockstar__phantom","MDPL2__Rockstar__Mvir_SAM","MDPL2__Rockstar__Mvir","MDPL2__Rockstar__Rvir","MDPL2__Rockstar__Rs","MDPL2__Rockstar__Vrms","MDPL2__Rockstar__mmp","MDPL2__Rockstar__lastMM_scale","MDPL2__Rockstar__Vmax","MDPL2__Rockstar__x","MDPL2__Rockstar__y","MDPL2__Rockstar__z","MDPL2__Rockstar__vx","MDPL2__Rockstar__vy","MDPL2__Rockstar__vz","MDPL2__Rockstar__angMom_x","MDPL2__Rockstar__angMom_y","MDPL2__Rockstar__angMom_z","MDPL2__Rockstar__spin","MDPL2__Rockstar__breadthFirstId","MDPL2__Rockstar__depthFirstId","MDPL2__Rockstar__treeRootId","MDPL2__Rockstar__forestId","MDPL2__Rockstar__origHaloId","MDPL2__Rockstar__rockstar_snapnum","MDPL2__Rockstar__snapnum","MDPL2__Rockstar__nextCoprog_depthFirstId","MDPL2__Rockstar__mainLeaf_depthFirstId","MDPL2__Rockstar__lastProg_depthFirstId","MDPL2__Rockstar__Rs_Klypin","MDPL2__Rockstar__Mvir_all","MDPL2__Rockstar__M200b","MDPL2__Rockstar__M200c","MDPL2__Rockstar__M500c","MDPL2__Rockstar__M2500c","MDPL2__Rockstar__Xoff","MDPL2__Rockstar__Voff","MDPL2__Rockstar__spin_Bullock","MDPL2__Rockstar__axisratio_2_1","MDPL2__Rockstar__axisratio_3_1","MDPL2__Rockstar__axis1_x","MDPL2__Rockstar__axis1_y","MDPL2__Rockstar__axis1_z","MDPL2__Rockstar__axisratio_2_1_500c","MDPL2__Rockstar__axisratio_3_1_500c","MDPL2__Rockstar__axis1_x_500c","MDPL2__Rockstar__axis1_y_500c","MDPL2__Rockstar__axis1_z_500c","MDPL2__Rockstar__T_U","MDPL2__Rockstar__M_pe_Behroozi","MDPL2__Rockstar__M_pe_Diemer","MDPL2__Rockstar__Macc","MDPL2__Rockstar__Mpeak","MDPL2__Rockstar__Vacc","MDPL2__Rockstar__Vpeak","MDPL2__Rockstar__halfmass_scale","MDPL2__Rockstar__accRate_Inst","MDPL2__Rockstar__accRate_100Myr","MDPL2__Rockstar__accRate_1Tdyn","MDPL2__Rockstar__accRate_2Tdyn","MDPL2__Rockstar__accRate_Mpeak","MDPL2__Rockstar__Mpeak_scale","MDPL2__Rockstar__Acc_scale","MDPL2__Rockstar__First_Acc_scale","MDPL2__Rockstar__First_Acc_Mvir","MDPL2__Rockstar__First_Acc_Vmax","MDPL2__Rockstar__Vmax_Mpeak","MDPL2__Rockstar__ix","MDPL2__Rockstar__iy","MDPL2__Rockstar__iz","MDPL2__Rockstar__phkey"
33,10709867184315,9867184315,0.6712,0.6862,10030937119,2,-1,-1,-1,0,15096000000000,15268000000000,569.021,102.208,489.46,1,0.4605,447.11,675.693,60.4375,533.399,-540.39,-1083.68,148.41,-19560000000000,157400000000000,7560000000000,0.03906,1918046950,1918046931,12661431071,12661430774,104420570,107,107,1918048473,1918047012,1918048472,102.532,15325000000000,16015000000000,13448000000000,9609000000000,4301000000000,41.4142,54.94,0.04645,0.83439,0.50762,10.6936,29.7863,-23.0241,0.73128,0.45069,7.26575,23.652,-20.0415,0.6689,13560000000000,11910000000000,15268000000000,15268000000000,447.11,516.38,0.4406,1822,1822,807.4,819,941.2,0.6712,0.671,0.671,15270000000000,447.11,447.11,691,61,546,880012102
34,10810030936965,10030936965,0.6862,0.7016,10193610827,1,10030936908,10030936873,10193610773,0,10349700000000,10737000000000,503.65,55.446,441.74,1,0.2957,427.55,675.647,58.4287,534.11,-35.8,-234.2,642.45,-72630000000000,68900000000000,26550000000000,0.05296,111654199,111669770,12661431059,12661430774,103809350,108,108,-1,111669863,111671795,57.8676,11554000000000,10884000000000,10172000000000,7807100000000,3981800000000,22.2758,69.53,0.054,0.58564,0.49328,32.0737,26.8085,3.97487,0.58697,0.50101,20.9598,26.385,1.59189,0.6064,10820000000000,6126000000000,25946000000000,33637000000000,529.29,585.79,0.4814,7976,7976,-16330,-3363,5130,0.6008,0.588,0.588,25950000000000,529.29,564.44,691,59,546,880011960
35,10810030937125,10030937125,0.6862,0.7016,10193610993,1,-1,-1,-1,0,31093700000000,31299000000000,719.477,98.152,616.59,1,0.3377,593.7,674.822,60.2841,532.254,-317.02,-786.63,630.95,299300000000000,172400000000000,-432100000000000,0.04266,1059732225,1059732149,12661431073,12661430774,103809122,108,108,-1,1059732224,1059735204,95.2885,31299000000000,33572000000000,26309000000000,19259000000000,10694000000000,37.2996,52.37,0.04847,0.66946,0.60835,-4.60806,45.8329,-26.7583,0.6236,0.58009,1.21581,39.248,-19.5391,0.6473,31000000000000,19110000000000,31299000000000,31299000000000,593.7,649.88,0.3609,7253,7253,2734,1809,2235,0.6862,0.686,0.686,31300000000000,593.7,593.7,691,61,545,880012107
36,11210674919684,10674919684,0.7498,0.7666,10833154158,1,10674919510,10674919510,10833153986,0,14298700000000,14524000000000,545.56,71.178,477.16,1,0.4605,439.89,675.008,58.8751,533.678,-518.2,-1460.7,402.04,30140000000000,139900000000000,50710000000000,0.04298,1918046933,1918046926,12661431071,12661430774,101255016,112,112,1918048626,1918047012,1918048625,76.1996,15494000000000,15271000000000,13065000000000,10172000000000,4570400000000,17.8038,7.66,0.04625,0.72308,0.51109,14.4323,-21.0013,29.2769,0.67682,0.44631,13.1616,-14.8216,25.2282,0.6325,14720000000000,9496000000000,15932000000000,15932000000000,455.63,516.38,0.4406,-78.66,-78.66,-217,285.2,596.8,0.7173,0.717,0.717,15930000000000,455.63,455.63,691,60,546,880012103
37,10209032185854,9032185854,0.6008,0.6142,9201290182,1,-1,-1,-1,0,14329700000000,14425000000000,569.991,135.586,471.59,1,0.4605,441.1,676.315,61.5812,533.194,-441.23,-769.37,191.01,-8552000000000,125600000000000,-58380000000000,0.03909,1918046980,1918046936,12661431071,12661430774,107221341,102,102,-1,1918047012,1918048393,139.148,14425000000000,14813000000000,12801000000000,8553700000000,3644600000000,8.65619,103.92,0.04666,0.69942,0.42997,26.8814,38.6812,-14.1897,0.61707,0.42335,17.4505,30.4521,-16.513,0.6488,12570000000000,13900000000000,14425000000000,14425000000000,441.1,516.38,0.4309,1379,1379,571.1,1766,1618,0.6008,0.601,0.601,14420000000000,441.1,441.1,692,63,545,880012168
38,10309201289964,9201289964,0.6142,0.628,9369360307,7,-1,-1,-1,0,85578700000000,76493000000000,990.24,351.277,870.36,1,0.6008,775.76,675.699,58.4613,533.306,-294.05,-608.03,601.36,-2.197e15,1.407e15,-6.306e15,0.059,111655132,111662721,12661431059,12661430774,106707471,103,103,-1,111662784,111665584,208.535,80071000000000,77687000000000,71263000000000,46648000000000,8376100000000,125.782,539.49,0.14103,0.76957,0.5318,51.4248,79.8882,-18.153,0.41574,0.34142,-7.7551,60.9489,-41.2856,1.0956,69600000000000,84090000000000,76493000000000,76493000000000,775.76,775.76,0.5747,40440,40440,42090,23890,22790,0.6142,0.614,0.614,76490000000000,775.76,775.76,691,59,546,880011960
39,10609702328954,9702328954,0.6565,0.6712,9867184106,6,-1,-1,-1,0,98194700000000,98363000000000,1063.56,246.545,970.39,1,0.6008,848.58,675.306,58.2179,533.812,-360.9,40.25,741.3,-289700000000000,1.532e15,-6.257e15,0.04927,111654528,111662718,12661431059,12661430774,105010898,106,106,111666491,111662784,111666490,178.709,98371000000000,100480000000000,91770000000000,66791000000000,15418000000000,93.9716,236.12,0.08529,0.48765,0.44055,62.6136,101.761,-8.13305,0.35794,0.25475,69.8706,80.0289,-1.73353,0.8325,92290000000000,95150000000000,98363000000000,98363000000000,848.58,861.53,0.5876,37060,37060,48170,29440,28180,0.6565,0.656,0.656,98360000000000,848.58,848.58,691,59,546,880011960
40,10709867184064,9867184064,0.6712,0.6862,10030936873,8,-1,-1,-1,0,174013000000000,168620000000000,1267.18,606.76,1065.38,1,0.5378,923.43,676.312,58.2435,534.791,-649.74,-221.91,-400.35,-655400000000000,4.201e15,-4.217e15,0.01851,111654327,111653004,12661431059,12661430774,104420609,107,107,111661832,111653101,111661831,580.447,170000000000000,195570000000000,114050000000000,71131000000000,30126000000000,126.997,311.8,0.03198,0.47325,0.26072,52.3151,2.8476,110.343,0.47001,0.33676,18.3854,15.3292,74.2062,0.8036,173000000000000,265800000000000,168620000000000,168620000000000,923.43,977.69,0.5378,132100,132100,40610,41520,39060,0.6712,0.671,0.671,168600000000000,923.43,923.43,692,59,547,880011874
41,11110515591681,10515591681,0.7333,0.7498,10674919510,22,-1,-1,-1,0,280583000000000,284130000000000,1478.16,243.039,1359.82,1,0.6862,1205.18,675.368,58.2534,534.386,-945.34,179.47,-118.32,-1.673e15,2.121e16,-1.565e16,0.04002,111653716,111653000,12661431059,12661430774,101914117,111,111,111669767,111653101,111669766,197.519,284420000000000,294810000000000,251280000000000,186710000000000,82647000000000,106.561,663.23,0.05712,0.5501,0.4584,72.4564,-8.10614,90.6171,0.50433,0.33724,68.4908,-14.9926,68.1218,0.7737,266500000000000,210200000000000,284130000000000,284130000000000,1205.18,1205.18,0.6565,100900,100900,101900,62820,63980,0.7333,0.733,0.733,284100000000000,1205.18,1205.18,691,59,547,880011967
42,11410990317671,10990317671,0.7837,0.8013,11146416646,9,-1,-1,-1,0,344567000000000,347440000000000,1553.69,413.088,1325.07,1,0.6862,1157.33,674.917,58.2485,534.34,-297.55,-121.01,57.62,-1.372e16,1.45e16,-4.618e15,0.02102,111653402,111652997,12661431059,12661430774,99946901,114,114,111673931,111653101,111673930,353.368,350140000000000,359610000000000,311590000000000,194820000000000,51285000000000,191.447,147.31,0.03091,0.39301,0.28655,104.939,-1.53749,110.321,0.35451,0.25431,74.0828,1.75555,80.2953,0.7603,336500000000000,355600000000000,347440000000000,347440000000000,1157.33,1205.18,0.6712,88200,88200,83170,73570,66770,0.7837,0.784,0.784,347400000000000,1157.33,1157.33,691,59,547,880011967
