"row_id","MDPL2__Rockstar__dbId","MDPL2__Rockstar__rockstarId","MDPL2__Rockstar__scale","MDPL2__Rockstar__desc_scale","MDPL2__Rockstar__descId","MDPL2__Rockstar__nprog","MDPL2__Rockstar__pId","MDPL2__Rockstar__upId","MDPL2__Rockstar__desc_pId","MDPL2__Rockstar__phantom","MDPL2__Rockstar__Mvir_SAM","MDPL2__Rockstar__Mvir","MDPL2__Rockstar__Rvir","MDPL2__Rockstar__Rs","MDPL2__Rockstar__Vrms","MDPL2__Rockstar__mmp","MDPL2__Rockstar__lastMM_scale","MDPL2__Rockstar__Vmax","MDPL2__Rockstar__x","MDPL2__Rockstar__y","MDPL2__Rockstar__z","MDPL2__Rockstar__vx","MDPL2__Rockstar__vy","MDPL2__Rockstar__vz","MDPL2__Rockstar__angMom_x","MDPL2__Rockstar__angMom_y","MDPL2__Rockstar__angMom_z","MDPL2__Rockstar__spin","MDPL2__Rockstar__breadthFirstId","MDPL2__Rockstar__depthFirstId","MDPL2__Rockstar__treeRootId","MDPL2__Rockstar__forestId","MDPL2__Rockstar__origHaloId","MDPL2__Rockstar__rockstar_snapnum","MDPL2__Rockstar__snapnum","MDPL2__Rockstar__nextCoprog_depthFirstId","MDPL2__Rockstar__mainLeaf_depthFirstId","MDPL2__Rockstar__lastProg_depthFirstId","MDPL2__Rockstar__Rs_Klypin","MDPL2__Rockstar__Mvir_all","MDPL2__Rockstar__M200b","MDPL2__Rockstar__M200c","MDPL2__Rockstar__M500c","MDPL2__Rockstar__M2500c","MDPL2__Rockstar__Xoff","MDPL2__Rockstar__Voff","MDPL2__Rockstar__spin_Bullock","MDPL2__Rockstar__axisratio_2_1","MDPL2__Rockstar__axisratio_3_1","MDPL2__Rockstar__axis1_x","MDPL2__Rockstar__axis1_y","MDPL2__Rockstar__axis1_z","MDPL2__Rockstar__axisratio_2_1_500c","MDPL2__Rockstar__axisratio_3_1_500c","MDPL2__Rockstar__axis1_x_500c","MDPL2__Rockstar__axis1_y_500c","MDPL2__Rockstar__axis1_z_500c","MDPL2__Rockstar__T_U","MDPL2__Rockstar__M_pe_Behroozi","MDPL2__Rockstar__M_pe_Diemer","MDPL2__Rockstar__Macc","MDPL2__Rockstar__Mpeak","MDPL2__Rockstar__Vacc","MDPL2__Rockstar__Vpeak","MDPL2__Rockstar__halfmass_scale","MDPL2__Rockstar__accRate_Inst","MDPL2__Rockstar__accRate_100Myr","MDPL2__Rockstar__accRate_1Tdyn","MDPL2__Rockstar__accRate_2Tdyn","MDPL2__Rockstar__accRate_Mpeak","MDPL2__Rockstar__Mpeak_scale","MDPL2__Rockstar__Acc_scale","MDPL2__Rockstar__First_Acc_scale","MDPL2__Rockstar__First_Acc_Mvir","MDPL2__Rockstar__First_Acc_Vmax","MDPL2__Rockstar__Vmax_Mpeak","MDPL2__Rockstar__ix","MDPL2__Rockstar__iy","MDPL2__Rockstar__iz","MDPL2__Rockstar__phkey"
39,10008691057867,8691057867,0.5747,0.5876,8862119523,1,-1,-1,-1,0,13852700000000,13851000000000,566.322,132.914,476.96,1,0.4605,446.87,676.535,61.9689,533.097,-437.08,-716.94,178.13,3261000000000,107800000000000,-19260000000000,0.03424,1918046994,1918046938,12661431071,12661430774,108817729,100,100,1918047897,1918047012,1918047896,129.015,13851000000000,14094000000000,12552000000000,8144300000000,3694300000000,15.7873,78.01,0.04015,0.71205,0.44463,26.4684,40.0163,-12.0492,0.61139,0.43118,21.4304,32.2024,-8.96214,0.6386,12000000000000,13240000000000,13851000000000,13853000000000,446.87,516.38,0.4309,1299,1299,773,3040,3034,0.5378,0.575,0.575,13850000000000,446.87,452.64,692,63,545,880012168
40,6803140089197,3140089197,0.2829,0.2892,3297051224,3,-1,-1,-1,0,16289600000000,16261000000000,629.675,143.241,759.73,1,0.2767,675.66,678.532,61.0349,536.078,-285.89,-50.22,-3.97,-161200000000000,-109100000000000,-6977000000000,0.0455,111667767,111653043,12661431059,12661430774,92390975,68,68,111653573,111653101,111653572,113.443,16296000000000,16048000000000,15947000000000,11516000000000,2654000000000,108.137,252.52,0.07587,0.34186,0.25846,-17.6727,93.9106,1.72063,0.30794,0.25078,-6.44584,71.2023,3.38371,0.8076,14530000000000,15690000000000,16261000000000,16261000000000,675.66,675.66,0.2477,17820,20640,20140,14200,19130,0.2829,0.283,0.283,16260000000000,675.66,675.66,694,62,548,880012228
41,11911761035297,11761035297,0.8755,0.8951,11912589635,2,11761035199,11761035199,11912589559,0,29122700000000,24598000000000,621.572,75.987,640.09,1,0.3377,507.91,674.932,57.7353,535.024,660.66,-339.38,1039.46,-172100000000000,257500000000000,79040000000000,0.0217,1059732138,1059732138,12661431073,12661430774,96653351,119,119,1059736049,1059732224,1059736048,76.9912,30606000000000,26376000000000,21893000000000,17001000000000,7918500000000,62.7788,48.68,0.0383,0.66665,0.55058,-10.1645,30.465,-26.8158,0.59653,0.50269,11.277,-21.7362,23.0938,0.8681,26530000000000,15670000000000,31355000000000,39591000000000,564.55,649.88,0.4505,-50870,-50870,-3788,-977.4,2712,0.8564,0.767,0.767,31360000000000,564.55,584.97,691,59,547,880011967
42,8305686613067,5686613067,0.3944,0.4032,5865002552,3,-1,-1,-1,0,14087300000000,14079000000000,591.826,169.766,637.12,1,0.353,532.64,676.608,60.5083,531.282,-119.36,-36.65,212.12,168200000000000,114800000000000,204700000000000,0.06355,111661364,111662741,12661431059,12661430774,109572526,83,83,-1,111662784,111663301,133.451,14095000000000,13960000000000,13595000000000,8925600000000,2173800000000,143.457,212.27,0.12198,0.53443,0.28732,63.4943,44.8359,-38.1743,0.59694,0.31676,55.4006,20.5404,-11.8995,0.8524,12230000000000,14750000000000,14079000000000,14079000000000,532.64,568.04,0.3377,3071,3071,8961,8580,9623,0.3944,0.394,0.394,14080000000000,532.64,532.64,692,61,544,880012177
43,8405865002477,5865002477,0.4032,0.4123,6043685922,4,-1,-1,-1,0,28422200000000,26971000000000,733.98,166.913,714.9,1,0.2647,665.99,679.806,58.713,537.301,-481.63,10.41,-158.61,83120000000000,82600000000000,29700000000000,0.01388,111660921,111657143,12661431059,12661430774,109976098,84,84,111659633,111657189,111659632,145.145,27078000000000,26549000000000,25297000000000,18333000000000,6399500000000,30.5208,65.37,0.0171,0.87326,0.56064,53.9693,1.3698,50.2323,0.92424,0.55837,17.5738,51.9335,23.035,0.6661,22440000000000,25050000000000,26971000000000,27740000000000,665.99,759,0.2892,1382,1382,-72.2,4288,2871,0.353,0.403,0.403,26970000000000,665.99,685.41,696,60,550,880012318
44,8405865002897,5865002897,0.4032,0.4123,6043686331,3,-1,-1,-1,0,17346000000000,16397000000000,621.784,129.599,607.38,1,0.3377,560.18,676.899,64.1508,529.458,-252.86,-625.47,431.29,-30070000000000,-49940000000000,7154000000000,0.01551,1059733079,1059732173,12661431073,12661430774,110662121,84,84,1059732970,1059732224,1059732969,129.599,16397000000000,16143000000000,15280000000000,10080000000000,4892600000000,41.7064,73.83,0.01905,0.61143,0.43517,36.5717,53.9988,-23.1261,0.57809,0.39493,30.0742,42.516,-21.5891,0.6627,13680000000000,13990000000000,16397000000000,17434000000000,560.18,649.88,0.3303,-6643,-6643,1858,9590,11010,0.3857,0.403,0.403,16400000000000,560.18,593.99,693,65,542,879750028
45,10209032185867,9032185867,0.6008,0.6142,9201290193,3,-1,-1,-1,0,27558000000000,27584000000000,707.481,107.686,615.64,1,0.3377,584.87,675.348,61.4185,531.365,-377.94,-693.23,516.89,17230000000000,108700000000000,-256300000000000,0.02777,1059732338,1059732155,12661431073,12661430774,107221319,102,102,1059735010,1059732224,1059735009,108.444,27629000000000,28630000000000,23963000000000,17083000000000,9014400000000,21.0909,42.39,0.03184,0.74018,0.70137,-2.85894,47.9373,-22.0046,0.70476,0.65652,-0.6566,39.3477,-17.5053,0.6422,24320000000000,17970000000000,27584000000000,27584000000000,584.87,649.88,0.3453,9.164,9.164,642.4,3120,3045,0.6008,0.601,0.601,27580000000000,584.87,584.87,691,62,544,880012149
46,8506043686117,6043686117,0.4123,0.4215,6222488292,1,-1,-1,-1,0,12719600000000,12409000000000,565.761,97.088,584.68,1,0.2957,522.82,677.306,57.2395,530.526,-451.13,113.66,529.99,-12280000000000,-43090000000000,188500000000,0.01765,111660725,111669793,12661431059,12661430774,110296304,85,85,-1,111669863,111670757,93.5486,12423000000000,12275000000000,11801000000000,8887900000000,3685200000000,54.5544,37.69,0.02288,0.51909,0.33371,14.1621,7.78008,63.4757,0.5063,0.30211,9.94751,7.33144,52.3175,0.7173,10850000000000,9695000000000,12409000000000,12409000000000,522.82,562.85,0.2892,1242,1242,1711,1830,1245,0.4123,0.412,0.412,12410000000000,522.82,522.82,693,58,543,879760790
47,10409369360307,9369360307,0.628,0.6421,9536386909,1,-1,-1,-1,0,85715200000000,84852000000000,1021.03,207.302,946.12,1,0.6008,832.93,675.588,58.312,533.465,-476.67,-534.91,657.17,-1.538e15,1.891e15,-7.427e15,0.0445,111654922,111662720,12661431059,12661430774,106148392,104,104,111665585,111662784,111665584,158.998,85361000000000,85911000000000,80425000000000,60569000000000,16576000000000,82.6249,569.37,0.13466,0.8683,0.82816,55.4916,68.1392,21.9721,0.90302,0.74357,68.0604,29.8622,5.82591,1.0527,82270000000000,77160000000000,84852000000000,84852000000000,832.93,832.93,0.5747,36640,36640,46650,26220,25320,0.628,0.628,0.628,84850000000000,832.93,832.93,691,59,546,880011960
48,7203782322497,3782322497,0.3091,0.316,3948425103,4,-1,-1,-1,0,22121000000000,20504000000000,678.501,288.436,741.81,1,0.2647,666.42,680.806,58.646,537.562,-281.55,310.99,-247.91,28780000000000,88150000000000,90380000000000,0.02053,111665935,111657155,12661431059,12661430774,99161690,72,72,111657845,111657189,111657844,179.753,20567000000000,20179000000000,19868000000000,12445000000000,1857700000000,126.69,336.94,0.03284,0.443,0.39436,2.62983,-55.5237,95.4665,0.33251,0.26504,3.78322,-40.5646,75.288,0.7752,17160000000000,22860000000000,20504000000000,20504000000000,666.42,666.42,0.2706,47750,46470,20560,18210,23120,0.3091,0.309,0.309,20500000000000,666.42,666.42,697,60,550,880012319
